Timestamp,City ,Hospital Name/ Campus (Optional),Years of Experience,"Specialty (Cardiac, ER, GI, L&D, etc)",Hourly Base Pay (Diff not included),Shift Diff Amount (if any) ,"Type Of Shift Diff (nights, Baylor, Critical Care, Etc) "
12/5/2019 14:17:05,Colorado Springs ,,,Peds Surgery ,33.15,2.65,
12/5/2019 14:29:41,Grand Junction,St Mary’s,2,Orthopedics,25,,Day
12/5/2019 14:36:03,Colorado Springs,UCHealth,2.5,Renal,29,5,Nights
12/5/2019 14:42:10,Denver ,Children’s Hospital Colorado,6,,35.25,,
12/5/2019 14:42:17,Denver ,Children’s Hospital Colorado,6,,35.25,,
12/5/2019 14:42:24,,,,,,,
12/5/2019 14:47:54,Englewood,,1,ICU,28,4,Nights
12/5/2019 14:46:20,Denver,,9,Oncology/BMT,38,,
12/5/2019 14:49:01,Denver,UCHealth,2.5,ICU,28.23,5,Nights
12/5/2019 15:04:45,Coloraos Springs,Memorial Central Hospital,1,Float Pool,29,4,Nights
12/5/2019 15:15:03,Denver,University of Colorado Hospital (Anschutz),2,Med-Surg Charge RN,31.95,5,"Nights (2300-0700); $2.50 for weekends, $2.50 for evenings (1500-2300)"
12/5/2019 15:15:54,Denver,University of Colorado Hospital Anschutz ,2,Med-Surg,28.12,2.5,Weekends
12/5/2019 15:16:43,Denver,University of Colorado Hospital,1,Med Surg (new grad),24.1,5,Nights (2300-0700)
12/5/2019 15:28:16,Greeley ,Banner health,6,Dialysis,,,Day
12/5/2019 15:35:58,Denver,,3.5,ICU ,32,4,Night 
12/5/2019 15:45:17,Denver,SCL Health,3,L&D,29.51,5,Nights 
12/5/2019 15:58:21,Pueblo,Parkview,1.5,Med Surg,27.35,,Days 
12/5/2019 16:09:23,Denver,UCHealth,4,Postpartum,31.29,,
12/5/2019 16:29:50,Boulder,,3.5,GI Lab,31.5,,
12/5/2019 16:43:30,Denver ,,1,Progressive care/Step down ,27,5,Nights 
12/5/2019 16:57:51,Aurora,UCHEALTH,10,Triage,36.4,,
12/5/2019 17:26:28,Aurora,,1,Oncology,27,5,"Nights (also: 2.50 for weekend, 2.50 for evening 1500-2300)"
12/5/2019 18:22:38,Boulder ,Boulder Community Health,1,Mental Health,30.86,8,Nights
12/5/2019 18:47:45,Wheat Ridge,LMC,1,Hospice,31.04,4.75,Nights weekend add extra 2.75
12/5/2019 20:48:50,Aurora,UCHealth,8,ER,36.56,,Days
12/5/2019 22:05:01,Lakewood,,13,Pre-Op/PACU,39.2,1.25,"CCRN, CPAN"
12/5/2019 22:35:50,,,,,36.49,4.8,Evenings 
12/5/2019 23:10:44,Grand junction,St Mary’s ,1,ICU,25,4.5,Nights 
12/6/2019 0:26:40,Aurora,UCHealth,12,MSPCU,36,5,nights
12/6/2019 1:29:04,Denver,,10,Dialysis,41,,
12/6/2019 5:13:47,Denver,Agency Float Pool,5,Telemetry/PCU,46,1,Nights
12/6/2019 23:54:26,Denver,,4,OR,33.23,,
12/7/2019 0:16:57,Aurora,VA,0,OR,37.01,,Days
12/7/2019 1:00:39,Boulder,,4,Labor and Delivery,31,,
12/10/2019 15:30:28,Aurora,Univeristy of Colorado hospital ,,NICU,44,3,Nights 
12/10/2019 18:40:53,Denver,,6,L&D,32.06,,Days
12/11/2019 1:42:55,Denver,Denver Springs,3,Psychiatric,35.5,4,Nights
12/11/2019 5:16:40,Denver,Childrens Hospital Colorado,8,,38.75,,
12/14/2019 0:25:28,Loveland Co,,2.5,Ortho/neuro,28.5,,
12/29/2019 22:42:24,Denver,Swedish Medical Center,1.5,Med/surg,27.5,4,nights
12/31/2019 18:43:35,Pueblo,Parkview Medical Center,3.5,CVICU,32.28,3.4,Nights
1/5/2020 23:17:34,Denver,,1,ER,29,5.75,Nights
1/7/2020 11:13:53,Lakewood,,7,ER,33.23,,"2/hr Weekend, 2.75/hr Evening, 5.75/hr Night"
1/7/2020 18:14:54,Alamosa ,,2,ER,28,5,Days
1/9/2020 9:20:34,Denver,,0,L&D,27,5,Night
1/11/2020 9:25:41,Pueblo,Parkview,3,Medsurg,27.35,,Days
1/17/2020 10:26:24,Aurora/Denver,University ,4,Transplant ,30.3,7.5,Weekend/ Nights 
1/17/2020 10:32:43,Denver ,Porter Adventist ,0.5,Cardiac telemetry,28.85,5,Nights 
1/17/2020 10:39:27,,,,,,,
1/17/2020 13:12:39,Greeley,,1,Addiction Medicine,23,,"Days, no weekends or holidays"
1/17/2020 13:46:48,Eads,Weisbrod Community Hospital,0,ER/MedSurg ,31,3,Nights 
1/17/2020 15:44:59,Lakewood ,Centura - St Anthony ,4,Neuro - ortho - trauma ,32.5,,
1/17/2020 15:45:09,Lakewood ,Centura - St Anthony ,4,Neuro - ortho - trauma ,32.5,,
1/17/2020 15:48:57,Fort Collins,UCHealth,1.5,Med Surg,28,5,Nights
1/17/2020 15:53:38,Colorado Springs ,Memorial Central ,5,OB,30.98,,
1/17/2020 16:10:25,Littleton,Littleton Adventist Hospital,1.5,Med-Surg,30.25,5.75,Nights
1/17/2020 16:37:23,Grand Forks ,,1,ICU,30,4,Nights 
1/17/2020 16:37:51,Grand Forks ,,1,ICU,30,4,Nights 
1/17/2020 17:25:29,Denver metro area,Public school district,0.75,Pediatrics,33.98,,
1/17/2020 18:17:43,Fort morgan,Colorado plains medical center,0,Med/surg-ICU,27.47,33.37,Nights
1/17/2020 18:41:42,Aurora,TMCA,8,PACU,33,,
1/17/2020 20:22:40,Fort Collins,Poudre Valley Hospital,4,MS Oncology,32.5,5,Nights
1/17/2020 23:54:44,Loveland,Medical Center of the Rockies,3,Cardiac PCU,30,4,Nights
1/18/2020 0:26:19,Longmont,,22,L&D,44.15,,Days 
1/18/2020 1:12:18,Fort Collins,,7,OR,34,2,
1/18/2020 1:59:19,Fort collins,Poudre valley hospital,11,Nicu,34.15,5,Nights
