Timestamp,City ,Hospital Name/Campus,Years of Experience,"Specialty (Cardiac, ER, GI, L&D, etc)",Hourly Base Pay (Diff not included),Shift Diff Amount (if any) ,"Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ","Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ",Hospital Name/ Campus (Optional)
11/26/2019 12:01:50,Middletown,Orange Regional Medical Center,4,Float,42.33,2.75,Night,Float,
11/26/2019 12:10:27,Canandaigua,U of R,10,,30.47,,Weekend Contract,,
11/26/2019 12:28:27,New York City,NYP Hospital ,5,ER,48,2,Night,,
11/26/2019 12:34:24,Rochester,Rochester General Hospital,0,Med-Surg,27,2,Nights ,,
11/26/2019 12:39:14,NYC - Manhattan ,Mount Sinai West (so part of the Mount Sinai Health System),2,Medical Surgical,47.462,2.7692,Night Shift,,
11/26/2019 12:44:00,Manhasset,North shore university hospital,1,Medsurg,49,,Nights,,
11/26/2019 12:50:19,"New York, NY",NYU Langone Health,5,PACU,51,,,,
11/26/2019 13:22:54,Glens Falls,Glens Falls Hospital,0.5,Cardiac,24,20,Nights,,
11/26/2019 13:59:52,Valhalla,Westchester Medical Center ,5,NICU,47,7000,Nights,,
11/26/2019 14:40:00,Binghamton,Wilson Medical Center,3,Med/surg,27,3,days,nights,
11/26/2019 15:10:32,Brooklyn ,Mckinney NYCHHC,10,LTC,43,,,,
11/26/2019 15:10:38,Stony Brook,Stony Brook University Hospital,1,Med-surg ,35,,,,
11/26/2019 15:12:21,New York City,Mount Sinai,3,NICU,47,138,Nights,Weekend,
11/26/2019 15:20:19,Roslyn,St Francis hospital,3,Orthopedic telemetry,46.27,,Days,,
11/26/2019 15:48:33,Santa cruz,,3,ER ,64,5,Day,12,
11/26/2019 16:37:38,New York City ,,1,Cardiac ,49.19,3.08,Nights,,
11/26/2019 16:45:42,Port jefferson,Mather hospital,1.5,Telemetry,44,2,Nights,Nights,
11/26/2019 17:45:38,Stony brook ,Stony brook children’s hospital ,1,Pedatrics ,34.61,2.61,Unknown ,Nights ,
11/26/2019 18:21:44,Schenectady,Ellis Hospital,2.5,ICU,27.79,5,Nights ,,
11/26/2019 18:23:40,Mount Kisco ,Caremount ,2,Endoscopy ,40,,,,
11/26/2019 18:42:38,Manhattan,New York Presbyterian/ Weill Cornell,1,PACU,50.68,53.68,Nights,,
11/26/2019 19:03:32,Carmel,Putnam Hospital,1,Med surg,36,4.5,Nights,Weekends (0.50),
11/26/2019 20:25:48,Albany,St. Peter’s hospital (trinity health),10,L&D,36,11,Weekend Nights ,,
11/26/2019 20:51:44,New York,NYP Allen Hospital,2,Critical Care,50,,,,
11/26/2019 20:55:22,New York city,NYU langone (Manhattan),1,Medical step down ,49,2,Nights - 5.5k more a year ,,
11/26/2019 21:07:42,Penn Yan,Finger Lakes Health,7,ER ,31.18,5,Nights,Nights,
11/26/2019 21:15:12,Rochester,,9,NICU,35,,Nights,,
11/26/2019 22:04:55,Southampton,Stony Brook Southampton Hospital,1,Tele,41.66,2.2,Evenings and nights,Evenings and nights,
11/26/2019 23:28:20,stony brook,stony brook medicine,9,outpatient chemo,41,,,,
11/26/2019 23:49:54,Utica,Mvhs,10,Pediatrics,47,5,Nights,Nights,
11/27/2019 0:08:02,"Binghamton, NY",Our Lady of Lourdes Memorial Hospital ,6,Emergency Dept. ,34.24,5,Evening (3-11) 15% and nights (11-7) 20% more ,,
11/27/2019 4:40:51,Valhalla ,Westchester Medical Center,4,Orthopedics/Medsurg ,44.86,,,,
11/27/2019 7:03:23,New York City,NYU Langone Health,3,Dermatology,48.9,,,,
11/27/2019 8:08:11,Saratoga ,Saratoga Hospital ,0,Med/Surg,26,4,Nights,,
11/27/2019 8:28:41,New York ,,1,,33,,,,
11/27/2019 9:53:33,"New York, NY",Mount Sinai,1,Oncology,49,,Day,,
11/27/2019 10:07:18,New York,Bellevue ,0,ER,42,3,Nights,,
11/27/2019 11:13:48,New York City,Mount Sinai Hospital (Main Campus),1,PICU,47.9179,2.99,Night shift,"Plus 0.6648 (BSN), 0.3068 (1 yr experience)",
11/27/2019 11:41:11,Saratoga,Saratoga Hospital,6,Er ,32.5,3,Evening/weekends,,
11/27/2019 11:48:02,Buffalo,ECMC,6,ICU,34,3,Nights,,
11/27/2019 12:02:25,Ithaca,Cayuga medical center ,0,Telemetry ,30,,,,
11/27/2019 13:50:25,New York,New York Presbyterian Hospital/Cornell,15,Radiology ,59.94,,My pay includes a small differential for having a certification and my BSN.,,
11/27/2019 15:20:35,New york,Nyu langone ,5,Pacu,52.65,,,Days,
11/27/2019 15:44:02,New York,,1,L&D,46.5,1.4,Nights,,
11/27/2019 18:42:04,Suffolk County ,Private practice ,10,Outpatient/ office setting ,45,,,,
11/27/2019 18:50:47,Kitchener ,Grand river hospital ,2,ER,45,,,,
11/27/2019 19:30:11,New York,Memorial Sloan Kettering Cancer Center,2,Med Surge,49,,"Night, Weekends",,
11/27/2019 21:13:02,Newark,Newark-Wayne community Hospital ,5,ICU,29.5,1.5,Nights,Weekends,
11/27/2019 23:36:59,New York,New York Presbyterian Weill Cornell,10,ICU,57.88,,,,
11/28/2019 5:09:08,Manhasset,North shore university hospital ,2,Cardiac,45,1.79,Nights,"Experience diff and degree diff. BSN $0.75, man add’l $0.75",
11/28/2019 7:35:32,Rochester ,Rochester General Hospital ,2,Cardiac Surgery Stepdown ,26,1.5,Nights ,,
11/28/2019 13:03:33,Valhalla (Westchester County),,0,Oncology,44.7,3.4,Nights ,,Westchester Medical Center
11/29/2019 0:50:09,New York City,,,Day Surgery- per diem,60,,,,NYU Langone Health Tisch Campus
11/29/2019 5:07:15,New hyde park,,0,Med surg,45.72,2.76,Nights,,
11/29/2019 7:48:26,,,,,,,,,
11/29/2019 8:52:12,Bronx,,0,Tele Med Surg,47,,Day,,Bronx care
11/29/2019 8:55:26,Syracuse,,0,Medsurg,25.88,2.58,Nights 10% Weekends 25%,,
11/29/2019 10:22:21,"Roslyn, NY",,2,MedSurg/Telemetry,41.5,,Days,,"St. Francis Hospital, The Heart Center"
11/29/2019 10:34:30,Yonkers ,,0,,34,,,,
11/29/2019 11:01:52,Syracuse ,,4,Cardiac,32.81,,"$1 BSN, $0.75 certification",,
11/29/2019 20:58:01,Nyc,,4,PACU ,52,,Days ,,
11/29/2019 21:03:53,New Rochelle,,5,Dialysis ,36.99,,Day,,
11/29/2019 21:14:47,Nyc,,4,PACU ,52,,Days ,,
11/29/2019 21:28:12,Elmira,,1,ICU,28,,Day,,AOMC
11/29/2019 21:28:16,Elmira,,1,ICU,28,,Day,,AOMC
11/29/2019 22:13:33,Queens,,1,Rehab,30,,,,
11/30/2019 5:36:19,Buffalo,,4.5,Hospice,32,6,2 for oncall. 5 for evening. 6 for overnight. 2 for weekend. ,,
11/30/2019 5:37:06,Buffalo,,4,Med Surg,37,3,Nights,,
11/30/2019 6:45:43,New York ,,3,Hospice ,50,,Day,,
